NO	X	Y	Year
401	55.457	-20.867	1905.432796
402	46.95	-20.81	1987.032258
403	-61.27	-20.7	1945.36828
404	47.06749	-20.69703	1964.172043
405	47.195	-20.636	1961.13172
406	-40.44	-20.63	1967.956989
407	46.5	-20.6	1976.145161
408	46.633	-20.596	1966.776882
409	48.53	-20.59	1962.825269
410	46.803	-20.554	1984.943548
411	47.25	-20.54	1927.002688
412	47.243	-20.531	1926.290323
413	47.05	-20.52	1993.83871
414	47.06	-20.52	1983.814516
415	47.15	-20.52	1981.126344
416	48.176	-20.515	1989.776882
417	47.15	-20.51	1972.927419
418	-63.28	-20.44	1964.373656
419	31.957	-20.423	1979.002688
420	47.09	-20.4	1985.177419
421	46.916	-20.387	1974.862903
422	46.92	-20.36	1973.827957
423	47.29	-20.35	1976.379032
424	57.58	-20.34	1931.836022
425	23.81666667	-20.33333333	1944
426	-64.806	-20.323	1934.252688
427	46.91	-20.32	1981.126344
428	-40.41	-20.27	1972.833333
429	47.32	-20.26	1963.002688
430	47.371	-20.24	1984.962366
431	57.461	-20.224	1925.919355
432	26.18333333	-20.21666667	1947
433	47.305	-20.17	1970.72043
434	57.5	-20.17	1927.201613
435	57.496	-20.165	1926.986559
436	46.93	-20.12	1976.206989
437	16.146	-20.108	1999.266129
438	47.18	-20.07	1975.053763
439	46.98	-20.06	1934.086022
440	-64.15	-20.02	1933.169355
441	48.13	-20.01	1930.836022
442	-64.49	-19.999	1967.865591
443	-43.97	-19.98	1928.419355
444	-65.08	-19.97	1955.86828
445	47.234	-19.906	1978.182796
446	46.81	-19.9	1978.755376
447	47.23	-19.89	1981.83871
448	47.02	-19.88	1977.102151
449	47.03	-19.87	1979.903226
450	47.031	-19.869	1926.959677
451	46.86	-19.84	1977.139785
452	48.07	-19.84	1975.306452
453	46.858	-19.838	1961.502688
454	47.22	-19.81	1976.932796
455	48.57	-19.79	1990.438172
456	48.58	-19.78	1975.072581
457	46.62	-19.74	1977.376344
458	45.363	-19.724	1926.086022
459	47.67	-19.71	1958.051075
460	47.32	-19.666	1959.112903
461	46.75781	-19.64259	1930.459677
462	47.681	-19.637	1982.010753
463	-65.756	-19.583	1937.169355
464	48.80453	-19.58082	1963.922043
465	-65.34	-19.58	1938.008065
466	47.359	-19.566	1958.876344
467	46.97	-19.48	1977.102151
468	-64.487	-19.471	1959.002688
469	29.818	-19.451	1975.973118
470	48.2	-19.43	1963.002688
471	46.95	-19.41	1958.19086
472	46.85	-19.35	1960.002688
473	46.85	-19.34	1962.865591
474	-64.306	-19.305	1955.11828
475	46.47	-19.29	1964.973118
476	-64.27	-19.28	1926.349462
477	46.48	-19.28	1973.483871
478	-64.27	-19.27	1964.521505
479	47.114	-19.258	1981.973118
480	46.35	-19.21	1974.188172
481	46.738	-19.178	1960.983871
482	45.846	-19.177	1992.086022
483	-64.496	-19.173	1933.104839
484	-41.86	-19.17	1967.768817
485	-64.643	-19.15	1955.677419
486	46.364	-19.127	1963.900538
487	-64.324	-19.123	1964.653226
488	46.45	-19.12	1963.938172
489	46.65	-19.12	1977.139785
490	-61.7	-19.11	1965.002688
491	46.36	-19.11	1970.817204
492	46.37	-19.11	1981.266129
493	46.36	-19.1	1963.973118
494	46.37	-19.1	1975.129032
495	47.78	-19.09	1970.873656
496	-65.256	-19.042	1937.086022
497	-65.26	-19.04	1981.051075
498	47.21	-19.04	1990.193548
499	-41.64	-19.02	1969.793011
500	47.18	-19.016	1968.198925
501	28.85559	-19.01019	1974.943548
502	29.09	-19.01	1933.05914
503	46.904	-18.961	1931.002688
504	47.57	-18.96	1958.895161
505	46.9	-18.95	1962.865591
506	48.22	-18.95	1926.669355
507	48.23	-18.95	1976.97043
508	48.24	-18.95	1975.053763
509	48.222	-18.948	1993.819892
510	47.28258	-18.93301	1963.88172
511	27.76	-18.93	1982.034946
512	46.06	-18.93	1989.795699
513	47.28	-18.93	1963.002688
514	47.54	-18.93	1968.959677
515	47.814	-18.92	1974.88172
516	48.27	-18.92	1990.174731
517	47.51666667	-18.91666667	1921
518	46.98	-18.91	1926.626344
519	46.713	-18.908	1988.032258
520	47.528	-18.908	1927.126344
521	47.52	-18.87	1987.83871
522	47.92	-18.87	1966.002688
523	46.41	-18.85	1984.465054
524	-65.796	-18.842	1938.002688
525	-65.116	-18.834	1934.836022
526	47.13	-18.82	1976.77957
527	47.22	-18.79	1973.752688
528	46.048	-18.773	1963.002688
529	46.93	-18.77	1932.002688
530	47.75	-18.77	1977.120968
531	46.51	-18.765	1958.83871
532	47.645	-18.746	1988.688172
533	46.63	-18.74	1969.147849
534	27.76	-18.73	1974.002688
535	46.87	-18.72	1930.290323
536	-64.183	-18.719	1981.002688
537	47.88	-18.69	1959.244624
538	48.26	-18.69	1987.051075
539	-41.99	-18.68	1967.935484
540	47.87	-18.67	1982.244624
541	47.88	-18.67	1975.594086
542	35.07	-18.66	1979.002688
543	46.82	-18.64	1926.586022
544	-43.381	-18.603	1946.919355
545	48.02	-18.59	1962.981183
546	48.03	-18.59	1962.981183
547	46.79	-18.58	1963.002688
548	46.83	-18.57	1949.586022
549	-44.59	-18.56	1969.002688
550	46.83	-18.55	1981.032258
551	46.85	-18.54	1961.255376
552	46.81	-18.53	1926.209677
553	46.77	-18.5	1928.043011
554	46.82	-18.5	1928.043011
555	47.24	-18.5	1979.884409
556	-64.107	-18.493	1945.36828
557	-64.11	-18.49	1960.959677
558	46.76	-18.49	1975.110215
559	46.77	-18.48	1950.502688
560	46.83	-18.47	1968.150538
561	46.82	-18.46	1926.290323
562	30.891	-18.459	1971.927419
563	46.77	-18.43	1926.290323
564	-66.559	-18.417	1969.206989
565	46.65	-18.41	1977.185484
566	47.878	-18.405	1989.795699
567	47.48	-18.4	1962.112903
568	26.5	-18.36	1953.989247
569	26.50658	-18.34703	1974.002688
570	47.118	-18.316	1997.930108
571	47.624	-18.313	1974.94086
572	-65.983	-18.269	1977.787634
573	46.882	-18.227	1989.758065
574	-45.25	-18.208	1969.583333
575	46.16	-18.19	1966.889785
576	47.14	-18.19	1965.798387
577	46.19	-18.18	1966.989247
578	-67.03	-18.172	1955.887097
579	47.86	-18.17	1960.107527
580	49.38333333	-18.16666667	1898
581	49.402	-18.15	1926.376344
582	49.39659	-18.1465	1929.438172
583	47.77	-18.08	1962.981183
584	46.93	-18.06	1926.196237
585	47.75	-18.06	1962.981183
586	21.43333333	-18.01666667	1960
587	20.78333333	-17.98333333	1960
588	-67.111	-17.975	1938.688172
589	48.24	-17.93	1962.981183
590	15.06666667	-17.88333333	1961
591	44.121	-17.872	1989.776882
592	-41.495	-17.869	1967.696237
593	48.3	-17.86	1962.981183
594	48.48	-17.86	1993.973118
